Var1 Var2 Var3 Var4 Var5 Var6 Var7
3 9.3 0.0375618939983107 0.0645737 0.110868 0.18749 0.328066355211052
3.25 9.3 0.059467 0.102105 0.179572 0.290066 0.513042
3.5 9.3 0.0893103310439015 0.156811 0.279493 0.435384 0.762778
3.75 9.3 0.131565 0.234666 0.420909 0.637373 1.10334
4 9.3 0.187249 0.344213 0.619689 0.917517 1.56428
4.25 9.3 0.264941 0.497299 0.870892086084787 1.30832 2.18768
4.5 9.3 0.372208 0.706825 1.28765237193124 1.85033 3.01818
4.75 9.3 0.519392 0.988039 1.83491491376367 2.60071 4.10976
5 9.1 0.693177 1.34521 2.49712 3.50088 5.46976
5.25 7.2 0.764440343315763 1.90577 2.93188440094262 4.0546 7.58679
5.5 5.6 0.88204 2.15492056529696 3.43211 4.54986 9.26337
5.75 4.2 0.988327 2.56628 3.88199 5.19461 10.0937
6 2.9 1.13129 2.59753 4.49227380255471 6.0394 9.96286
6.25 1.9 1.28156 2.51135 4.46344 6.92184 10.4531
6.5 1.1 1.45184 2.52095 4.4195 6.92781 11.9792
6.75 0.6 1.61158 2.69125 4.79292 7.36493 13.7992
7 0.2 1.7719 2.95295 5.15959012321234 8.0441 15.1636
7.25 0 1.90973 3.18277 5.60545821720026 8.62703 16.0354
7.5 0 1.94387 3.27926 5.73968 8.84171 16.1898
7.75 0 1.90573 3.26574 5.66426 8.75294 15.7772
3 9.5 0.0372914616707613 0.0631615 0.110075 0.185289 0.327084
3.25 9.5 0.0590497 0.0998953 0.178126493035088 0.287972 0.502284
3.5 9.5 0.08865011149492 0.15345 0.277489 0.432249 0.746951
3.75 9.5 0.130712 0.229695 0.417866 0.632748 1.08066
4 9.5 0.186052 0.337096 0.614984312540542 0.91093 1.53285
4.25 9.5 0.252265298026227 0.48737 0.883599416107753 1.29916 2.14513
4.5 9.5 0.370028 0.693406 1.27898836918262 1.83787 2.96234
4.75 9.5 0.516547 0.970476 1.82745 2.58408 4.03845
5 9.3 0.690139 1.32303 2.4533 3.48212 5.3809
5.25 7.5 0.80479 1.86315127986002 2.96300281070653 4.10234 7.52368
5.5 5.9 0.88419 2.23711155614957 3.4919 4.56 9.28251
5.75 4.6 1.04326 2.63156 4.05039 5.47684 10.3606
6 3.6 1.22938 2.7687 4.87571893445058 6.5558 10.6212
6.25 2.8 1.43453 2.78303 4.94125 7.67343 11.6851
6.5 2.3 1.65486 2.86148 5.01217 7.85947 13.6378
6.75 2.1 1.81165 3.02671 5.39752 8.27949 15.5279
7 2 1.94282 3.23722 5.68850202084653 8.8154 16.6087
7.25 2 2.04392 3.4067 5.99863221319325 9.23135 17.1511
7.5 2 2.04771 3.45523 6.04573 9.31276 17.0457
7.75 2 1.99355 3.41655 5.92478 9.15538 16.4972
3 10.5 0.0356150162157419 0.0565159 0.105128 0.165692 0.293827
3.25 10.5 0.0563569 0.089355 0.170062 0.266298 0.45096
3.5 10.5 0.0844243027961669 0.137346 0.264562 0.4063200337378 0.670879
3.75 10.5 0.125109 0.205919 0.398259762093139 0.603248 0.97185
4 10.5 0.170147725430289 0.302935 0.584260207425639 0.868907 1.38137
4.25 10.5 0.252467 0.439469 0.843283355585577 1.24038 1.93918
4.5 10.5 0.33978919481281 0.627761 1.19883 1.75615 2.68775
4.75 10.5 0.496779 0.883869 1.52552396966088 2.47354 3.67461497495023
5 10.3 0.666855 1.21107 2.23508 3.33330026414527 4.93407
5.25 8.8 0.802404 1.72168 2.93910818189608 4.06902 6.74793216117497
5.5 7.5 0.928929 2.22037 3.47835472113964 4.76491 8.71391
5.75 6.5 1.14534 2.62566 4.40478401222652 5.97732 10.1776
6 5.8 1.38221 2.87439 5.13543 7.32567 11.0421
6.25 5.4 1.62262 3.01499 5.32537 8.28684 13.129
6.5 5.1 1.8385 3.1191 5.43997 8.54465 15.0597
6.75 5 1.94088 3.249685228319 5.67145787022835 8.87061 16.7126
7 5 2.04849 3.41041 5.9897155411681 9.27087 17.4196
7.25 5 2.11842 3.5321 6.21293804834887 9.55726 17.7153
7.5 5 2.11334 3.56803 6.23683 9.60496 17.5448
7.75 5 2.05446 3.52296 6.10401 9.43067 16.9631
3 13.6 0.029116500480519 0.0408553 0.0869648 0.119568 0.214903
3.25 13.6 0.0465648 0.0645519 0.136183 0.19195 0.329406
