Var1 Var2 Var3 Var4 Var5
3 9.3 0.00131238 0.00207828 0.00262481
3.25 9.3 0.00265951 0.00411597307299186 0.00513036
3.5 9.3 0.00525031 0.00829428 0.0101072
3.75 9.3 0.0102086 0.0165774 0.0199108
4 9.3 0.0194948 0.0311141 0.0394315
4.25 9.3 0.0358889 0.0567899575082661 0.0790179
4.5 9.3 0.0631586 0.114857420640199 0.15773
4.75 9.3 0.106016 0.227219075484746 0.305486
5 9.1 0.168105 0.425219155076292 0.569589
5.25 7.2 0.253694 0.743381622040202 1.17572
5.5 5.6 0.347953 1.1457278867271 2.0301
5.75 4.2 0.470798 1.69199807426006 2.82186
6 2.9 0.594426 2.16458 3.28931
6.25 1.9 0.719093 2.3146 3.55126
6.5 1.1 0.857125 2.49953 3.87632
6.75 0.6 1.02026936299788 2.93769 4.41197
7 0.2 1.20367648990777 3.40277 5.1346
7.25 0 1.35216 3.86003545512064 5.91148
7.5 0 1.43419 4.16412 6.4353
7.75 0 1.47096 4.3257 6.74107
3 9.5 0.0013069 0.00204284 0.00257928
3.25 9.5 0.00264984 0.0040490451755717 0.00504519
3.5 9.5 0.00523352 0.00816324 0.00994652
3.75 9.5 0.0101684 0.0163096 0.0195857
4 9.5 0.019399 0.0305971 0.0387727
4.25 9.5 0.0356747 0.0564420445029495 0.0776327
4.5 9.5 0.0627111 0.114021384049996 0.154875
4.75 9.5 0.105265 0.225587578337326 0.300168
5 9.3 0.167014 0.422208232378464 0.559869
5.25 7.5 0.25436 0.745253073218643 1.15668
5.5 5.9 0.353531 1.16394676126146 2.00836
5.75 4.6 0.486905 1.74960166900123 2.84378
6 3.6 0.627274 2.244 3.40993
6.25 2.8 0.775365 2.47387 3.79484
6.5 2.3 0.931666 2.70601393834312 4.19836
6.75 2.1 1.09344 3.14081 4.71821
7 2 1.25311041711735 3.54248 5.34342
7.25 2 1.37297 3.91945548115596 6.00286
7.5 2 1.43674 4.1715 6.44715
7.75 2 1.46768 4.31603 6.72608
3 10.5 0.00127048 0.00187622 0.00236557
3.25 10.5 0.00257058 0.00371122275488192 0.00462187
3.5 10.5 0.00506259 0.00746997 0.00909756
3.75 10.5 0.00981354 0.0149176 0.0178996
4 10.5 0.0186841 0.0279594 0.0354139
4.25 10.5 0.0343389 0.054265150639108 0.0710157
4.5 10.5 0.060425 0.109835070571372 0.142155
4.75 10.5 0.101149 0.216556440344601 0.275608
5 10.3 0.160299 0.387336 0.513439
5.25 8.8 0.248754 0.728431401647377 1.04557
5.5 7.5 0.357989 1.177866769141 1.8279
5.75 6.5 0.506193 1.7813821068384 2.66925
6 5.8 0.663623 2.22473 3.35645
6.25 5.4 0.819121 2.51765 3.85812
6.5 5.1 0.968896 2.77930522686133 4.29621
6.75 5 1.11009 3.17039 4.76274
7 5 1.24070166927701 3.50734 5.28063
7.25 5 1.33566 3.81693603284387 5.84153
7.5 5 1.39433 4.04819 6.25784
7.75 5 1.42828 4.20021 6.5471
3 13.6 0.00111144 0.00146771 0.00183378
3.25 13.6 0.0022248 0.00287041 0.00355245
3.5 13.6 0.00433021 0.0056966 0.00693096
3.75 13.6 0.00836849 0.011396 0.013642
4 13.6 0.0158823 0.0226053021805496 0.0270092
4.25 13.6 0.0292344 0.046077424969124 0.0544861
4.5 13.6 0.0515666 0.0904778663313294 0.109828
4.75 13.6 0.0857661 0.169823 0.212956
5 13.5 0.135537 0.30388 0.395867
5.25 12.3 0.212637 0.559489 0.772883
5.5 11.4 0.309624 0.914498 1.31586
5.75 10.8 0.435889 1.31818 1.93874
6 10.4 0.568394 1.68462 2.53386
6.25 10.2 0.705637 2.01909 3.08486
6.5 10.1 0.83887 2.4015137380961 3.58933
6.75 10 0.959029821500726 2.70988 4.07392
7 10 1.08262989746667 3.04427522653591 4.58956
7.25 10 1.17949 3.37283745322093 5.1676
7.5 10 1.25511 3.64324 5.63655
7.75 10 1.30676 3.84293 5.99435
3 22.1 0.000712089 0.00083671 0.00101203
3.25 22.1 0.00141625 0.00163372 0.0019544
3.5 22.1 0.00273413 0.00325428377156666 0.00380039
3.75 22.1 0.00526193 0.00648664370038041 0.0074901
4 22.1 0.00993985 0.0131942 0.0148475
4.25 22.1 0.0180639 0.0262683 0.0297385
4.5 22.1 0.0315215 0.0510602 0.0597161
4.75 22.1 0.0528718 0.0969276378456813 0.117649
5 22 0.0844114 0.173749779357838 0.221411
5.25 21.3 0.133618 0.307891660871286 0.417147
5.5 20.8 0.196347 0.492842813107863 0.697755
5.75 20.4 0.268809 0.703081555445845 1.01973
6 20.2 0.344772 0.924839333626358 1.35812
6.25 20.1 0.429452770302968 1.17268 1.72754
6.5 20 0.521751671975543 1.42587 2.12702
6.75 20 0.619644862974892 1.73305 2.57495
7 20 0.729167 2.04723682046763 3.10936
7.25 20 0.834495 2.38418261014585 3.66755
7.5 20 0.931651 2.70393 4.19375
7.75 20 1.0153 2.98626 4.66603
3 31.4 0.000461274 0.000530396 0.000614787
3.25 31.4 0.000916623 0.00104375 0.00119251
3.5 31.4 0.0017776 0.0020688047860775 0.00232824
3.75 31.4 0.00339914 0.00410234438033386 0.00457434
4 31.4 0.00637801 0.0082484 0.00908933000000001
4.25 31.4 0.0115762 0.0163275 0.0182594
4.5 31.4 0.0202009 0.0317887 0.0365121
4.75 31.4 0.0338327 0.0600124 0.0720534
5 31.3 0.0540124 0.10755 0.135744
5.25 30.9 0.0857449 0.19102 0.25299
5.5 30.5 0.126636 0.306 0.422123
5.75 30.3 0.172752 0.435501 0.619734
6 30.1 0.222185 0.57477 0.836465
6.25 30.1 0.279381520287743 0.743571 1.08625
6.5 30 0.344622627443051 0.928395652474627 1.37858
6.75 30 0.417359 1.14924833552608 1.73405
7 30 0.500604 1.40606345693713 2.14876
7.25 30 0.592239 1.69260647241871 2.61339
7.5 30 0.686149 1.99279 3.09998
7.75 30 0.777623 2.28807 3.58744
3 41.1 0.00032436 0.000367523729367127 0.000419684
3.25 41.1 0.000639909 0.000718937496177207 0.000813804
3.5 41.1 0.00124901 0.00141256 0.00159065
3.75 41.1 0.00238057 0.00280477 0.00313712
4 41.1 0.00445099 0.00565894 0.0063121
4.25 41.1 0.00806495 0.011346 0.0125256
4.5 41.1 0.0140623 0.0220883724325527 0.0248831
4.75 41.1 0.0235085 0.0413240685034267 0.0491637
5 41 0.0372698317118693 0.0740527763703022 0.092639311321896
5.25 40.6 0.0596479 0.131318 0.171434
5.5 40.4 0.0883613 0.209424 0.285987
5.75 40.2 0.12146 0.303472 0.424536
6 40.1 0.15770451062468 0.403863045843122 0.583596
6.25 40 0.197851 0.521015445588599 0.76875294753843
6.5 40 0.244038 0.658804647662808 0.987863891453102
6.75 40 0.298983 0.8244872937715 1.25356
7 40 0.363268 1.02080567986043 1.56614
7.25 40 0.437879388614646 1.24979993269882 1.92755
7.5 40 0.51965032315845 1.50532 2.33397
7.75 40 0.606076137073068 1.77944 2.77282
