Var1 Var2 Var3 Var4 Var5
3 9.3 0.02077 0.0516848 0.228513
3.25 9.3 0.0331166006783867 0.081683 0.313044
3.5 9.3 0.0533693023192987 0.126732 0.429619
3.75 9.3 0.0840238964354335 0.193121374409441 0.589074
4 9.3 0.129501432490636 0.289802 0.805579
4.25 9.3 0.196324522250153 0.43274 1.09962
4.5 9.3 0.287948 0.640005 1.49518
4.75 9.3 0.390472 0.924944 2.01571
5 9.1 0.515981 1.28437 2.66391
5.25 7.2 0.71119 1.82407 3.73306
5.5 5.6 0.808199 2.03837837522343 4.58522
5.75 4.2 0.924601692261841 2.50517 5.00446
6 2.9 0.909426537878906 2.50303 4.92526
6.25 1.9 0.878471 2.47091 4.93387
6.5 1.1 0.869202477101033 2.49806 4.93716
6.75 0.6 0.936024 2.69026 5.2673
7 0.2 1.02672 2.97757 5.77894
7.25 0 1.10733 3.23762 6.23193
7.5 0 1.143 3.36692 6.42907
7.75 0 1.14142 3.38529 6.41702
3 9.5 0.0206319 0.0513225 0.223147
3.25 9.5 0.0328713855296013 0.0810766 0.305649
3.5 9.5 0.0529618661727382 0.125762 0.419497
3.75 9.5 0.0833799724793232 0.191684 0.575366
4 9.5 0.128511784666029 0.287573 0.787187
4.25 9.5 0.194917067963614 0.42673 1.07559
4.5 9.5 0.282496 0.627777 1.46414
4.75 9.5 0.379826433367093 0.91151 1.97632
5 9.3 0.50748 1.26247654169289 2.61505
5.25 7.5 0.705011 1.63445810557641 3.69228
5.5 5.9 0.832423 2.1678 4.5797
5.75 4.6 0.955336 2.28403156580099 5.11669
6 3.6 0.974537 2.65996 5.2279
6.25 2.8 0.970435 2.72812 5.44582
6.5 2.3 0.992097 2.80539001770085 5.57577
6.75 2.1 1.0463 3.00642 5.88524
7 2 1.11776 3.241 6.28931
7.25 2 1.17635852834105 3.44066 6.61589956171152
7.5 2 1.19628 3.52349 6.72853
7.75 2 1.18677 3.51971 6.67123
3 10.5 0.0197184 0.0489602 0.197713
3.25 10.5 0.0313670281864626 0.0772798 0.270908
3.5 10.5 0.0504907971768894 0.119878 0.372353
3.75 10.5 0.0794571959158345 0.18263 0.511244
4 10.5 0.122484192300955 0.274008 0.700854
4.25 10.5 0.18493 0.406742 0.960301
4.5 10.5 0.255401 0.596293113449453 1.31187
4.75 10.5 0.349138 0.843274 1.78848728134235
5 10.3 0.459856146244111 1.15841150864298 2.43408
5.25 8.8 0.643141 1.63865 3.33101
5.5 7.5 0.808535 2.11303 4.24063
5.75 6.5 0.935909 2.49832 4.95009
6 5.8 1.0083 2.78602 5.49333
6.25 5.4 1.03631025919908 2.88644516723259 5.84693
6.5 5.1 1.07445 3.05042 6.02025
6.75 5 1.11524 3.20026 6.25886
7 5 1.16874 3.38563 6.5651
7.25 5 1.21115 3.5384 6.80476
7.5 5 1.22626 3.61015 6.89061
7.75 5 1.21485 3.60177 6.82394
3 13.6 0.0163418 0.040342 0.138917
3.25 13.6 0.0261559049931594 0.0636685 0.190886
3.5 13.6 0.041668786297565 0.0977329 0.265555
3.75 13.6 0.066223804164593 0.144967 0.372242
4 13.6 0.0969439 0.209477809784498 0.522445
4.25 13.6 0.13585 0.306972 0.735065
4.5 13.6 0.189126 0.439831 1.01870042008634
4.75 13.6 0.26267 0.626948 1.40742126377737
5 13.5 0.353927 0.882939 1.89363193897708
5.25 12.3 0.477501 1.22691136485617 2.53606
5.5 11.4 0.596426 1.57158677566073 3.08346
5.75 10.8 0.698542179507131 1.90052 3.84175579246961
6 10.4 0.801637 2.19657 4.40368
6.25 10.2 0.882994 2.45874 4.87966
6.5 10.1 0.953301 2.69159 5.29219
6.75 10 1.02095 2.91769 5.68843
7 10 1.08607 3.13679 6.06773
7.25 10 1.14447 3.33399267765179 6.40449
7.5 10 1.17818 3.46322 6.59906
7.75 10 1.18385 3.50592 6.63276
3 22.1 0.00957426 0.0214877 0.0740127
3.25 22.1 0.0154955993938605 0.0311297224422314 0.100782107408531
3.5 22.1 0.0235366 0.0463892 0.137971091464492
3.75 22.1 0.0338255 0.0692032 0.189598133675931
4 22.1 0.0470668105856643 0.102399 0.264396173169541
4.25 22.1 0.068239 0.149848 0.367128843453166
4.5 22.1 0.0963802 0.21791 0.511178
4.75 22.1 0.133318346938537 0.320754 0.715707
5 22 0.186196 0.457189122180413 0.974606
5.25 21.3 0.243783 0.617568104757605 1.27782
5.5 20.8 0.302134 0.783504 1.59059
5.75 20.4 0.368831 0.975415 1.95428
6 20.2 0.442162 1.19132 2.36052
6.25 20.1 0.519205 1.42341 2.7949
6.5 20 0.601191 1.67466 3.26166
6.75 20 0.684695815313204 1.94058 3.75162
7 20 0.775695 2.22054 4.26301
7.25 20 0.864132 2.50189 4.77112
7.5 20 0.937163 2.74054 5.19216
7.75 20 0.990578 2.9223 5.50121
3 31.4 0.00571958 0.0118288 0.0383095
3.25 31.4 0.0091002 0.017916 0.0531511933558073
3.5 31.4 0.0130298 0.0268483 0.0751393
3.75 31.4 0.0188091 0.0394415793169902 0.104535288338169
4 31.4 0.0270235 0.0584486479923745 0.14602278929076
4.25 31.4 0.0383629 0.0864599424133392 0.202691282747871
4.5 31.4 0.0545011 0.126971561984059 0.284781
4.75 31.4 0.0779492 0.187431779345042 0.403094
5 31.3 0.107982 0.265718 0.554447
5.25 30.9 0.140328012700813 0.355286 0.725746
5.5 30.5 0.176985 0.453378 0.910629
5.75 30.3 0.219212 0.57224 1.134
6 30.1 0.268649 0.713759834574486 1.39992
6.25 30.1 0.32465 0.878275 1.70624
6.5 30 0.388656 1.06916 2.04946736470731
6.75 30 0.461006 1.28824 2.46704
7 30 0.541622 1.53545 2.92186
7.25 30 0.628023 1.80364 3.41182
7.5 30 0.711081 2.06591 3.88537
7.75 30 0.784748 2.30325 4.30711
3 41.1 0.0035483 0.00732652 0.0242653
3.25 41.1 0.00570254 0.0111186 0.0327914
3.5 41.1 0.00817994 0.0166067118879921 0.0447442
3.75 41.1 0.0118057 0.0247133924560089 0.0621252
4 41.1 0.0169659 0.0368881507743906 0.0880706
4.25 41.1 0.0241327 0.0544531900878357 0.125441
4.5 41.1 0.0344365 0.0803313 0.17613542124791
4.75 41.1 0.0496471 0.118601 0.252350112206803
5 41 0.0694576 0.169539 0.351038
5.25 40.6 0.0913467 0.227498 0.460726
5.5 40.4 0.115315 0.288978452569154 0.582414
5.75 40.2 0.144308 0.372932 0.731926
6 40.1 0.179228 0.467632413142357 0.915074
6.25 40 0.220734 0.590774 1.13647
6.5 40 0.269837 0.734483 1.4024
6.75 40 0.326546 0.903371 1.71375
7 40 0.391122 1.09869 2.07221
7.25 40 0.463639 1.32095 2.47781
7.5 40 0.540121 1.55947 2.91025
7.75 40 0.615344 1.79854 3.33941
3 50.9 0.00239824425387148 0.00494658743517707 0.0163812054839006
3.25 50.9 0.00389058674431378 0.0075253113826224 0.0226507
3.5 50.9 0.00564722304530499 0.0113202188278959 0.0317359
3.75 50.9 0.00814149304015648 0.0170079354629347 0.0440842
4 50.9 0.0116880018237256 0.0253920486570957 0.0612942
4.25 50.9 0.0166296569100259 0.037197882721142 0.0851041
4.5 50.9 0.0237827166962939 0.0546868436927533 0.119528
4.75 50.9 0.0344826293858776 0.0815176651988056 0.171107
5 50.8 0.0485692322757928 0.117526477344412 0.239302859668405
5.25 50.5 0.0637721645205253 0.157384208865067 0.315745655255695
5.5 50.3 0.0808007697649499 0.204043977206238 0.400401046237401
5.75 50.2 0.101885214243371 0.261204068598118 0.507278319395907
6 50.1 0.128046174213048 0.334349818380364 0.642198792776717
6.25 50 0.160502283162515 0.426712670190387 0.812384745556282
6.5 50 0.200466783222273 0.542491757106797 1.02514685939916
6.75 50 0.249497483845109 0.686924921230764 1.28958490145527
7 50 0.309451403104603 0.866152765364367 1.6161093949891
7.25 50 0.381430589265372 1.0841721145058 2.01072362925688
7.5 50 0.46388 1.33630036323495 2.4538556428558
7.75 50 0.555027 1.6199 2.904127951726
3 70.6 0.00142453 0.00334856792684027 0.00841151410733309
3.25 70.6 0.00230099855649864 0.00502683703371735 0.0117646656118062
3.5 70.6 0.00362466864897546 0.00754454684315344 0.0165170711467509
3.75 70.6 0.00569348 0.0115170785163774 0.0232654602689878
4 70.6 0.00858220757113816 0.0174362085728795 0.032808995564567
4.25 70.6 0.0122011992406502 0.026026228995107 0.0461868973247695
4.5 70.6 0.0175363054500765 0.0394576 0.0666794842656501
4.75 70.6 0.0256687773220881 0.0599328320312432 0.0992547096398679
5 70.6 0.0366674318980763 0.0875813035303559 0.144253080274475
5.25 70.4 0.0487991176306557 0.118390858515464 0.195598345357327
5.5 70.2 0.0627809032966045 0.151226624920557 0.256285354598576
5.75 70.1 0.0807202434400168 0.199077046671616 0.335538536983818
6 70.1 0.10342800807493 0.260757166853094 0.437895016907045
6.25 70 0.131937239352565 0.339612447137414 0.569089900530432
6.5 70 0.167487090860107 0.439622092838219 0.736010542180391
6.75 70 0.211354679016886 0.564921014758068 0.945788987198066
7 70 0.265467742952225 0.721341289850221 1.20854651986449
7.25 70 0.330853784663206 0.925505563182669 1.53678616441139
7.5 70 0.405021054678013 1.13637884644466 1.88132665634011
7.75 70 0.490983794194471 1.37296929947246 2.33342794182962
3 100.4 0.000787548549038112 0.00196009777626891 0.00493124665577935
3.25 100.4 0.00127295277134431 0.0029445756960572 0.00695889811177684
3.5 100.4 0.00202013080873478 0.00461094445186244 0.00984224615313383
3.75 100.4 0.00313562145564219 0.00699543905802105 0.0140127420523985
4 100.4 0.00479294338569536 0.0107982445029173 0.020418879545413
4.25 100.4 0.00689343508022143 0.0160455468607232 0.0292763107029768
4.5 100.4 0.00993275208054584 0.0234255231690769 0.0422864467659829
4.75 100.4 0.0152793291153128 0.0357795140650781 0.0630330905956841
5 100.4 0.0232587218673993 0.0543922986022874 0.0924730123710756
5.25 100.3 0.0326516260694133 0.074400903179928 0.126938055254418
5.5 100.2 0.0442447894425104 0.0999594064003913 0.180661627734112
5.75 100.1 0.058847526654356 0.134577412240158 0.240047361537426
6 100 0.0773183125639184 0.1859141883662 0.318532853387344
6.25 100 0.100455257369591 0.243960064156646 0.419065890059731
6.5 100 0.129860605668388 0.318400927685665 0.54864518546109
6.75 100 0.166776164965811 0.413349021092275 0.714655928743077
7 100 0.212285303153794 0.533194595143721 0.925548719568747
7.25 100 0.267679535951609 0.68248964540943 1.18730565424453
7.5 100 0.330666445162807 0.861235942864766 1.50522
7.75 100 0.412324 1.0765428524309 1.88735
3 130.3 0.000478929986512544 0.00122868448986042 0.00268731303996818
3.25 130.3 0.000773184737130784 0.00189892961454812 0.00396514344435976
3.5 130.3 0.00120898068688893 0.00274109906066918 0.0054299395024533
3.75 130.3 0.00185364574554792 0.00419388381291743 0.00773187596060277
4 130.3 0.00277161971322485 0.00635748354311572 0.0109876986759904
4.25 130.3 0.00397328808912658 0.00932558603830385 0.0156801086511674
4.5 130.3 0.00594565785246749 0.0137809099052768 0.0233129319823765
4.75 130.3 0.00936660472165922 0.02114731280333 0.0359257525641475
5 130.3 0.014488877277842 0.0335531731230943 0.0538596676918115
5.25 130.2 0.0208530912531741 0.0481856874449052 0.0756066978792837
5.5 130.1 0.0288895950252942 0.066037725804672 0.104462368246726
5.75 130.1 0.0391180315532378 0.0908565416595038 0.145024710063551
6 130 0.0525270300562172 0.124303405119795 0.199974830233117
6.25 130 0.0694621761007703 0.165792808313972 0.27131856585722
6.5 130 0.0911108448423952 0.219235699757025 0.364926032342019
6.75 130 0.118654320180562 0.288277609202765 0.495247167434793
7 130 0.153288574797553 0.378515607948385 0.65075551210657
7.25 130 0.19585591458251 0.494364268740135 0.846115813040174
7.5 130 0.247345 0.632124470206768 1.08674
7.75 130 0.309493 0.812198 1.38136
3 200.2 0.000163817406211681 0.000430640893277974 0.000905461910421257
3.25 200.2 0.000266013518089351 0.000628555693296707 0.00135826162308727
3.5 200.2 0.000412504255446841 0.000912023814430742 0.00184787096792665
3.75 200.2 0.000631770119666021 0.00136159742893952 0.00264029534800192
4 200.2 0.00092305730781882 0.00211849715788564 0.00377022636567335
4.25 200.2 0.00132830698444284 0.00307380166356169 0.00532989166495748
4.5 200.2 0.00202665989599467 0.0045229831409845 0.0078409609646408
4.75 200.2 0.00330156409791774 0.00714739337923776 0.0126632936631011
5 200.2 0.00536564836575549 0.0114426405147979 0.0204236754006067
5.25 200.1 0.00792424832212082 0.017760121154277 0.0307420832249995
5.5 200.1 0.0113371173647334 0.0258351828949975 0.0444879899368212
5.75 200 0.0165125017268683 0.0368979440466746 0.0639492637727916
6 200 0.023176025738959 0.0517075976450682 0.091031678673218
6.25 200 0.0320299500049466 0.0719085659939866 0.128163143471096
6.5 200 0.0436955446741014 0.0988892445399434 0.178147460220463
6.75 200 0.0586424769325849 0.134003157394111 0.243731797788706
7 200 0.077790245702504 0.181083712982738 0.329841144668342
7.25 200 0.101704806675107 0.241257320126579 0.440221979631099
7.5 200 0.130891139549165 0.317065 0.566156341907105
7.75 200 0.167552 0.412083 0.739424591248011
3 300.1 3.83871312896476e-05 8.65751412758523e-05 0.000238059378476841
3.25 300.1 5.89626454635862e-05 0.000131800999189264 0.000346007664557892
3.5 300.1 9.09363569647302e-05 0.000203018205334764 0.000497244094562575
3.75 300.1 0.000137307641870746 0.000318143241303621 0.000709765755222768
4 300.1 0.000210452413655887 0.000488724579361867 0.00100249916115076
4.25 300.1 0.000313683351211795 0.000670389089295905 0.00138986494990661
4.5 300.1 0.000485190126692512 0.00101365322061014 0.00202740737199176
4.75 300.1 0.000814696025030215 0.00167219621911093 0.00327485676313648
5 300.1 0.00140580165529551 0.00291325978267185 0.00543278094672654
5.25 300.1 0.00229660943221583 0.00478272194444417 0.00865556703140191
5.5 300.1 0.00362495010372196 0.00756626547132734 0.013410264773199
5.75 300 0.00539662092966406 0.0117798421474358 0.020390577217204
6 300 0.00827008438249515 0.0179576514814053 0.0305203620685281
6.25 300 0.011975957677674 0.0265865568499534 0.0445710710905538
6.5 300 0.0169525368705633 0.0384643593863274 0.0638360043996911
6.75 300 0.0238726150412201 0.0549820046441105 0.090970733868346
7 300 0.0328731098352048 0.0771411292647506 0.128032738298266
7.25 300 0.0440860011571373 0.10533059865227 0.175451898705804
7.5 300 0.0577245761017474 0.141509 0.233790417338492
7.75 300 0.0755989143834712 0.188747 0.31332314461898
3 500.1 2.91847922082651e-06 6.25422222329444e-06 2.44988886323198e-05
3.25 500.1 7.27056426517302e-06 1.61688234532122e-05 5.60183558425571e-05
3.5 500.1 1.7160733861492e-05 3.94752068119097e-05 0.000120465553895011
3.75 500.1 3.60309912804342e-05 9.02942795328073e-05 0.000243460434512334
4 500.1 7.49543170076806e-05 0.000189461832179779 0.000466561987645504
4.25 500.1 0.000151134327691035 0.000380709080699149 0.000859274957548026
4.5 500.1 0.000273666715261895 0.000616465793110942 0.0014266169924062
4.75 500.1 0.000427899938418662 0.000931937621160233 0.00203815311324248
5 500.1 0.000615823280803933 0.00132524563318221 0.00271620923471656
5.25 500.1 0.000890428670156649 0.00189511336590932 0.0036712828224264
5.5 500 0.00124783606333646 0.0026773560665541 0.00493951387315152
5.75 500 0.00166450213155179 0.00367861251186001 0.00651253969053587
6 500 0.00219033134923874 0.00496204211093763 0.00848683465161977
