Var1 Var2 Var3 Var4 Var5
3 9.3 0.000316471294645496 0.000358096 0.000418166
3.25 9.3 0.000660174 0.000742483 0.000847105
3.5 9.3 0.00135137 0.00153933 0.00172138
3.75 9.3 0.00274225 0.00316492 0.00347867
4 9.3 0.00554012 0.00649156 0.00702795
4.25 9.3 0.010995 0.0131722 0.0141248
4.5 9.3 0.0212078 0.0264012 0.0285201
4.75 9.3 0.0391293 0.0519624 0.05689
5 9.1 0.0690077 0.100703 0.112909
5.25 7.2 0.132744 0.217253 0.252356
5.5 5.6 0.222651 0.410734 0.499368
5.75 4.2 0.310872 0.639215 0.816493
6 2.9 0.367738 0.825781 1.10412
6.25 1.9 0.398806 0.95721 1.32869
6.5 1.1 0.432665 1.09043 1.55734
6.75 0.6 0.485566 1.26866 1.85054
7 0.2 0.556669 1.49497 2.21561
7.25 0 0.624918 1.71518 2.57391
7.5 0 0.66759 1.86539 2.82831
7.75 0 0.688551 1.95326 2.98777
3 9.5 0.000311147168922517 0.000352028 0.000411064
3.25 9.5 0.000649666 0.000730427 0.000833336
3.5 9.5 0.00133082 0.0015154 0.00169461
3.75 9.5 0.00269813 0.00311287 0.00342142
4 9.5 0.00544638 0.00637965 0.00690679
4.25 9.5 0.010804 0.0129403 0.0138763
4.5 9.5 0.020832 0.0259311 0.0280132
4.75 9.5 0.0384562 0.0510711 0.0559184
5 9.3 0.0678294 0.0989975 0.111011
5.25 7.5 0.130338 0.213365 0.247889
5.5 5.9 0.219406 0.404864 0.492355
5.75 4.6 0.311549 0.640763 0.818681
6 3.6 0.378732 0.850596 1.13753
6.25 2.8 0.422765 1.01479 1.40877
6.5 2.3 0.464364 1.17031 1.67157
6.75 2.1 0.515608 1.34714 1.96512
7 2 0.576349 1.54775 2.29393
7.25 2 0.631323 1.7327 2.60025
7.5 2 0.665592 1.85971 2.81973
7.75 2 0.684046 1.94041 2.96821
3 10.5 0.000287070975978167 0.000324591 0.000378984
3.25 10.5 0.000599651 0.000672985 0.000767746
3.5 10.5 0.00122681 0.00139461 0.00155945
3.75 10.5 0.00248171 0.00285832 0.00314157
4 10.5 0.00499983 0.00584765 0.006331
4.25 10.5 0.00993517 0.0118871 0.012748
4.5 10.5 0.0192186 0.0239131 0.0258379
4.75 10.5 0.0354269 0.0470581 0.0515446
5 10.3 0.0622989 0.090982 0.102085
5.25 8.8 0.117656 0.192809 0.224218
5.5 7.5 0.198056 0.365922 0.44551
5.75 6.5 0.289092 0.595207 0.761343
6 5.8 0.368529 0.828212 1.10863
6.25 5.4 0.42541 1.02136 1.41888
6.5 5.1 0.471901 1.18925 1.69941
6.75 5 0.51831 1.35394 1.97566
7 5 0.566913 1.52204 2.25633
7.25 5 0.610918 1.67628 2.51601
7.5 5 0.642418 1.79459 2.72133
7.75 5 0.662938 1.8802 2.87638
3 13.6 0.000227214376541088 0.000256535 0.000299521
3.25 13.6 0.000472396 0.000525956009837233 0.000602499
3.5 13.6 0.000959383 0.0010820523306638 0.00121485
3.75 13.6 0.00193651 0.00222082 0.00244146
4 13.6 0.00389217 0.00453468 0.00491124
4.25 13.6 0.00776663 0.00926789 0.00994399
4.5 13.6 0.0151043 0.0187724 0.0202978
4.75 13.6 0.027703 0.0368119 0.0403693
5 13.5 0.0483937 0.0707734 0.0795463
5.25 12.3 0.0875211 0.143754 0.167572
5.5 11.4 0.143187 0.26523 0.323818
5.75 10.8 0.210393 0.434126 0.556839
6 10.4 0.278239 0.626156 0.840193
6.25 10.2 0.340218 0.81735 1.13764
6.5 10.1 0.394359 0.993599 1.42179
6.75 10 0.442405 1.15492 1.68656
7 10 0.490773 1.31657 1.95312
7.25 10 0.53796 1.47492 2.21496
7.5 10 0.576562 1.60948 2.44167
7.75 10 0.605075 1.71507 2.62472
3 22.1 0.000133019416369339 0.00014984 0.000175195
3.25 22.1 0.00027392 0.000305489 0.000349146
3.5 22.1 0.000554581 0.000622424 0.000697417
3.75 22.1 0.00111803 0.00127124 0.00140031
4 22.1 0.00224418 0.00258430289048011 0.00281604
4.25 22.1 0.00442096 0.00524474 0.00564055
4.5 22.1 0.00851205 0.0105474 0.0114338
4.75 22.1 0.0157686 0.0209462 0.0230457
5 22 0.0277423 0.0406337 0.0458592
5.25 21.3 0.0483432 0.0796265 0.0932888
5.5 20.8 0.0776624 0.144309 0.177164
5.75 20.4 0.112905 0.233581 0.301267
6 20.2 0.151529 0.341506 0.46059
6.25 20.1 0.193424 0.464642 0.649574
6.5 20 0.236738 0.595756 0.855599
6.75 20 0.283327 0.738111 1.08124
7 20 0.33336 0.892027 1.32632
7.25 20 0.384411 1.05118 1.58149
7.5 20 0.431851 1.20259 1.82718
7.75 20 0.473422 1.33909 2.05207
3 31.4 8.55345999999999e-05 9.47361632131021e-05 0.000111625
