Var1 Var2 Var3 Var4 Var5 Var6 Var7
3 9.3 0.000905934824280939 0.000974964 0.00107171 0.00110677 0.00124412
3.25 9.3 0.00183678163328093 0.00196158 0.00217178 0.0022548 0.00246889
3.5 9.3 0.00369671823552175 0.00403789 0.00441242 0.00460557 0.00492265
3.75 9.3 0.0073843799689117 0.00825179 0.00890905 0.0093532 0.00977373
4 9.3 0.0145275803210213 0.0168225887563003 0.0180285 0.0190727 0.0194922
4.25 9.3 0.0277829861748662 0.0340299841251844 0.0361655 0.0383588 0.0390186
4.5 9.3 0.050374607003737 0.0675801153184861 0.0714025 0.0751425 0.0786016
4.75 9.3 0.0862720313152459 0.129854744542601 0.136706 0.14316 0.155345
5 9.1 0.141896599094083 0.240664374243573 0.252981 0.264195 0.300095
5.25 7.2 0.259027260615472 0.495014644867211 0.519231 0.541415 0.646411
5.5 5.6 0.411764639703398 0.870017241041187 0.911769 0.950044 1.1907
5.75 4.2 0.54546036627254 1.24550689882579 1.30473 1.35916 1.77608
6 2.9 0.616605064389989 1.49041872365439 1.56123 1.62625 2.19609
6.25 1.9 0.648779005265397 1.63394529688303 1.71193 1.78322 2.46809
6.5 1.1 0.691874759018694 1.79553474935053 1.88193 1.96029 2.7635
6.75 0.6 0.770597726808201 2.04557891273597 2.14509 2.23436 3.19471
7 0.2 0.880627411114185 2.37938070895005 2.49665 2.60051 3.76092
7.25 0 0.987097862121323 2.699587013602 2.84094 2.95902 4.32121
7.5 0 1.0546929481762 2.92533323255631 3.07404 3.20166 4.71608
7.75 0 1.08849995343524 3.04931279358195 3.20699 3.33994 4.9585
3 9.5 0.000891018413641556 0.000958683999999999 0.00105356 0.00108792 0.00122302
3.25 9.5 0.00180784896071344 0.00193012 0.00213655 0.00221802 0.00242885
3.5 9.5 0.00365129725333465 0.00397555 0.00434371 0.0045334 0.00484608
3.75 9.5 0.00726774628852279 0.00811966 0.00876542 0.00920149 0.00961654
4 9.5 0.0142887500296877 0.0165424737077608 0.0177284 0.0187536 0.019169
4.25 9.5 0.027194154184791 0.0334370007581217 0.0355365 0.0376908 0.0383443
4.5 9.5 0.0494729803792911 0.0663640696891702 0.0701216 0.0737934 0.0772018
4.75 9.5 0.0850858787726633 0.127599668100288 0.134339 0.140684 0.152681
5 9.3 0.139473652438638 0.236676769772382 0.248665 0.259694 0.295024
5.25 7.5 0.254597426457629 0.486526062416411 0.510365 0.53219 0.63551
5.5 5.9 0.40665948466305 0.859926011197044 0.900472 0.938301 1.17625
5.75 4.6 0.548452240575837 1.25219007115794 1.31184 1.36659 1.78615
6 3.6 0.637302014906027 1.538722220116 1.61345 1.68067 2.26996
6.25 2.8 0.690603613721461 1.73892283913189 1.82201 1.89789 2.62714
6.5 2.3 0.74586231654524 1.93524733729583 2.02846 2.11292 2.97895
6.75 2.1 0.822977229387748 2.17779258515825 2.28382 2.37886 3.40154
7 2 0.915293047574546 2.46618104809654 2.58782 2.69544 3.89841
7.25 2 1.00063313595307 2.73609890070379 2.87304 2.99241 4.37019
7.5 2 1.05255439595065 2.91909097099399 3.06761 3.19488 4.70628
7.75 2 1.08230514039589 3.02261975713833 3.18854 3.32073 4.93014
3 10.5 0.000821734800330537 0.00088311 0.000969352 0.00100054 0.00112523
3.25 10.5 0.0016651544027033 0.00177491 0.00196351 0.00203742 0.00223224
3.5 10.5 0.00335696961637493 0.00365048 0.00398567 0.00415765 0.00444716
3.75 10.5 0.00666907566601754 0.00744309 0.0080309 0.00842638 0.00881273
4 10.5 0.0130896745249281 0.0151380253709075 0.0162235 0.0171549 0.0175485
4.25 10.5 0.0249361020121563 0.030681540818255 0.032567 0.0345317 0.0351597
4.5 10.5 0.045501517420006 0.0610066272182149 0.0644784 0.0678501 0.0710359
4.75 10.5 0.0782180958039494 0.117256283827461 0.12349 0.129326 0.140455
5 10.3 0.127974603262251 0.217092079076115 0.228164 0.238303 0.270922
5.25 8.8 0.230822179131517 0.439404136759025 0.461114 0.480883 0.574751
5.5 7.5 0.367559494587546 0.779042841916226 0.816815 0.851236 1.06815
5.75 6.5 0.512363692081406 1.1690387897944 1.22521 1.27644 1.66996
6 5.8 0.624179282216027 1.50711821704992 1.57937 1.64524 2.2239
6.25 5.4 0.696388454262316 1.75754767162595 1.84205 1.91882 2.65768
6.5 5.1 0.758978487725397 1.96895898633656 2.06575 2.15178 3.03503
6.75 5 0.825616817800379 2.1891771697967 2.29624 2.39178 3.42105
7 5 0.898906913946152 2.42643514849884 2.54654 2.65243 3.83713
7.25 5 0.967136968064995 2.64267138664533 2.7817 2.89727 4.23207
7.5 5 1.01691914969198 2.81865134496974 2.96233 3.08529 4.54564
7.75 5 1.04914264579237 2.94643328639767 3.08971 3.21779 4.77804
3 13.6 0.000647919492012595 0.000694074 0.000759457 0.000783004 0.000881797
3.25 13.6 0.00130118814494991 0.00138219 0.00152507 0.00158047 0.00173455
3.5 13.6 0.00259824281037663 0.00281553 0.00306833 0.00319651 0.00342587
3.75 13.6 0.00515094574811056 0.00573167 0.00617587 0.00647194 0.00678338
4 13.6 0.0100898856473295 0.0116313442698227 0.0124669 0.0131687 0.0135023
4.25 13.6 0.0192984789827171 0.0236545064502288 0.0251567 0.0266561 0.0272043
4.5 13.6 0.0354146772713294 0.0473976810416766 0.0501338 0.0527446 0.0553385
4.75 13.6 0.0607469165868351 0.0909326986637903 0.0958528 0.100391 0.109253
5 13.5 0.0990128302608009 0.167734045162128 0.176456 0.184335 0.209997
5.25 12.3 0.170483190180608 0.325242201256304 0.341661 0.35641 0.426974
5.5 11.4 0.266018610030238 0.560881694657765 0.588699 0.613665 0.771969
5.75 10.8 0.372527436383583 0.848123655307991 0.889787 0.927185 1.21596
6 10.4 0.471509299168561 1.13538457782485 1.19094 1.24077 1.68071
6.25 10.2 0.559101180220249 1.39981340526749 1.47068 1.53206 2.12562
6.5 10.1 0.635260740432229 1.64429002799586 1.72213 1.79391 2.53356
6.75 10 0.705446552363349 1.86498432677859 1.95738 2.03887 2.9192
7 10 0.778899690627711 2.09695460194778 2.20192 2.29346 3.32047
7.25 10 0.852264379770189 2.32589450192023 2.44684 2.5485 3.72505
7.5 10 0.912574044466429 2.52457770175085 2.65435 2.76449 4.07537
7.75 10 0.957000770415542 2.66658443030739 2.8148 2.93149 4.35519
3 22.1 0.00037295712624462 0.000396501 0.000430965 0.000443241 0.000501508
3.25 22.1 0.000743249473913271 0.000782612 0.000859346 0.000888171 0.000979977
3.5 22.1 0.00147189584508738 0.00158159 0.00171701 0.00178373 0.00192289
3.75 22.1 0.00291160646631573 0.00321559 0.00345513 0.00361087 0.00380834
4 22.1 0.00568944973741044 0.00650130956244048 0.00697386999999999 0.00734377583104881 0.00758433
4.25 22.1 0.0107598846475775 0.0130925909940043 0.0139454 0.0147543 0.0151497
4.5 22.1 0.0195992722253295 0.0260690423283528 0.0276305 0.0290519 0.0306504
4.75 22.1 0.0340904576883769 0.0507465492590303 0.0536165 0.0561535 0.0614367
5 22 0.0562873251478185 0.0946612964972562 0.0998229 0.104305 0.119453
5.25 21.3 0.0933585465092362 0.177107791300823 0.186517 0.194639 0.234455
5.5 20.8 0.14318042809233 0.299610634334589 0.31566 0.32915 0.416451
5.75 20.4 0.198590147035343 0.449007005239142 0.472234 0.492214 0.648998
6 20.2 0.255330435222703 0.610659979337798 0.642062 0.669041 0.910766
6.25 20.1 0.31578996611141 0.78666089843977 0.827024 0.86163 1.20066
6.5 20 0.380131557937575 0.973410003952155 1.02338 1.06609 1.51122
6.75 20 0.449374051000329 1.17955881671731 1.24039 1.292 1.85559
7 20 0.526684125029816 1.41033281936971 1.47906 1.54055 2.23627
7.25 20 0.605944246101819 1.64332955684694 1.7293 1.8011 2.63863
7.5 20 0.680110310174099 1.8690614279213 1.9679 2.04952 3.02757
7.75 20 0.74550663017511 2.07210569181109 2.18304 2.27344 3.38406
3 31.4 0.000234520738182322 0.000247491 0.000267461 0.000276517 0.000312025
3.25 31.4 0.000468298777061207 0.000488908 0.000534696 0.000551493 0.000612304
3.5 31.4 0.000928668021969685 0.000989656 0.00107102 0.00110997 0.00120482
3.75 31.4 0.00182521385966468 0.00200046 0.00214456 0.00223602 0.00237513
4 31.4 0.00354311527057565 0.0040275254567473 0.0043075 0.00453011 0.00470861
4.25 31.4 0.00669588438723155 0.00807827425311354 0.00862086 0.00910906 0.00941473
4.5 31.4 0.0121988612213484 0.0161182747786672 0.0171225 0.0179924 0.0190974
4.75 31.4 0.0212611726571798 0.0314191477595647 0.033278 0.0348464 0.0383455
5 31.3 0.0350536570344978 0.0584187003394545 0.0619962 0.0647826 0.0746094
5.25 30.9 0.0575532270961777 0.108489725563037 0.114551 0.119555 0.144822
5.5 30.5 0.0881170358143988 0.18322060594353 0.193302 0.201596 0.256427
5.75 30.3 0.122776503751115 0.275285046060899 0.290277 0.30259 0.401129
6 30.1 0.160092785441161 0.379055719310476 0.39956 0.416385 0.569721
6.25 30.1 0.202453794704978 0.498490027719239 0.525359 0.547369 0.766362
6.5 30 0.249444900757751 0.634688212846699 0.666389 0.694203 0.988262
6.75 30 0.303882467422082 0.788157939890092 0.830661 0.865242 1.24742
7 30 0.366262409441155 0.968109487269939 1.02051 1.06289 1.54819
7.25 30 0.435030954307378 1.16864891960422 1.23227 1.28339 1.88606
7.5 30 0.506058212732921 1.37867075319032 1.45431 1.51457 2.24381
7.75 30 0.576211 1.58953879293491 1.67759 1.74699 2.60761
3 41.1 0.000164429 0.000173433 0.000186512 0.000194606 0.000215754
3.25 41.1 0.000328986893141888 0.000341106 0.000371523 0.000386514 0.000424937
3.5 41.1 0.00064969039172643 0.000686988 0.000741548 0.000769226 0.000838471
3.75 41.1 0.00127284430058052 0.00138421056762994 0.00148189 0.00154205 0.00165004
4 41.1 0.00246260390987299 0.0027623903894046 0.00297046 0.00311853 0.00326532
4.25 41.1 0.00464546956824441 0.00555580543793914 0.00594132 0.00627103 0.00652472
4.5 41.1 0.00846408 0.0110870302537015 0.0118056 0.0123987 0.0132418
4.75 41.1 0.014716 0.0215975714851458 0.022933 0.0240086 0.0265761
5 41 0.0242453 0.040291843989731 0.0427072 0.0446247 0.0516908
5.25 40.6 0.0396834 0.0745710255496721 0.0785608 0.0819955 0.0998905
5.5 40.4 0.0606921 0.124970384870808 0.132509 0.138203 0.176774
5.75 40.2 0.0855571 0.191262857697847 0.201241 0.209788 0.279611
6 40.1 0.113228 0.265932178418998 0.281039 0.292881 0.402815
6.25 40 0.144185 0.353758309918182 0.37199 0.387575 0.545278
6.5 40 0.179446 0.4511172662239 0.476586 0.496472 0.709992
6.75 40 0.220906 0.568403632297206 0.600494 0.625477 0.905557
7 40 0.269272 0.70493228282825 0.746676 0.777668 1.13711
7.25 40 0.324717 0.867265417564931 0.916587 0.954562 1.40791
7.5 40 0.385664 1.04700415731505 1.10682 1.15262 1.71381
7.75 40 0.450299 1.24114927173915 1.31257 1.36681 2.04787
3 50.9 0.00012202 0.000130808 0.000138863 0.000147774 0.000161192129921573
3.25 50.9 0.000245616 0.000258959953456656 0.000276389 0.000290200595564868 0.000317535781285898
3.5 50.9 0.00048438 0.000520040510377258 0.000551193 0.000579011 0.000627039
3.75 50.9 0.000945612 0.00102989 0.00110048 0.00116130266077171 0.00123365
4 50.9 0.00182388 0.00207034107092435 0.0022039 0.00232198235105677 0.00246732
4.25 50.9 0.00343659 0.004152305428103 0.00440975 0.00465242508959814 0.00493903063839323
4.5 50.9 0.00626594 0.0082951655653924 0.00878179000000002 0.00928288 0.0100534
4.75 50.9 0.0108929 0.0161618384586775 0.0170916 0.0181584 0.0201282
5 50.8 0.0179506 0.030154875501336 0.0318574 0.0337559 0.0391022
5.25 50.5 0.0293301 0.0552930527227825 0.0582956 0.0616125 0.075375
