Var1 Var2 Var3 Var4 Var5
3 9.3 2.6562e-06 3.1889e-06 3.97597e-06
3.25 9.3 5.39247e-06 6.64225e-06 8.00022e-06
3.5 9.3 1.09015e-05 1.37661e-05 1.60749e-05
3.75 9.3 2.21347e-05 2.8625e-05 3.2533e-05
4 9.3 4.46113e-05 5.90228e-05 6.58557e-05
4.25 9.3 8.85317000000001e-05 0.000119733 0.000134706
4.5 9.3 0.000171913 0.000237634 0.000269495
4.75 9.3 0.000336952 0.000476517 0.000544701
5 9.1 0.000657278 0.000954041 0.00110004
5.25 7.2 0.00146372 0.00220698 0.0025777
5.5 5.6 0.0029246 0.00454995 0.00538868
5.75 4.2 0.00510552 0.00801951 0.00960192
6 2.9 0.00795921 0.0122572 0.0147092
6.25 1.9 0.0116734 0.0174025 0.0206915
6.5 1.1 0.016822 0.0248849 0.0291575
6.75 0.6 0.0236033 0.0364943 0.0425607
7 0.2 0.0321471 0.0544285 0.0645662
7.25 0 0.0409909 0.0775042 0.0953351
7.5 0 0.0478469 0.100414 0.129204
7.75 0 0.0525595 0.120143 0.161405
3 9.5 2.59764e-06 3.11812e-06 3.88798e-06
3.25 9.5 5.27641e-06 6.49763999999999e-06 7.82680999999999e-06
3.5 9.5 1.06715e-05 1.34715e-05 1.5732e-05
3.75 9.5 2.16434e-05 2.79781e-05 3.17993e-05
4 9.5 4.35749e-05 5.76189e-05 6.42890999999999e-05
4.25 9.5 8.64855e-05 0.000116884 0.00013149
4.5 9.5 0.000168012 0.000232046 0.000263117
4.75 9.5 0.000329803 0.000465916 0.000532465
5 9.3 0.000643911 0.000933406 0.00107588
5.25 7.5 0.00144111 0.00216874 0.00253169
5.5 5.9 0.00288552 0.00447873 0.00530016
5.75 4.6 0.00513446 0.00804546 0.00962158687859596
6 3.6 0.00825207 0.0126831 0.0152075
6.25 2.8 0.0123331 0.0183635 0.0218202
6.5 2.3 0.0178017 0.0263203 0.0308283
6.75 2.1 0.0247572 0.0382742 0.0446295
7 2 0.0331407 0.0561134 0.066564
7.25 2 0.0412354 0.077971 0.0959108
7.5 2 0.047572 0.0998416 0.12847
7.75 2 0.0521437 0.119196 0.160135
3 10.5 2.32419e-06 2.78768e-06 3.47744e-06
3.25 10.5 4.72449e-06 5.81148e-06 7.00292e-06
3.5 10.5 9.56105e-06 1.20506e-05 1.40781e-05
3.75 10.5 1.93459e-05 2.49569e-05 2.83747e-05
4 10.5 3.88872e-05 5.12867e-05 5.72206e-05
4.25 10.5 7.77174e-05 0.000104666 0.000117727
4.5 10.5 0.000152449 0.000209687 0.000237589
4.75 10.5 0.000300473 0.000422311 0.000482073
5 10.3 0.000587533 0.000846254 0.000973808
5.25 8.8 0.00128087 0.00191044 0.00222424
5.5 7.5 0.00255992 0.00392998 0.00463397
5.75 6.5 0.00474921 0.00735837 0.00876576
6 5.8 0.00804343 0.0122478 0.0146277
6.25 5.4 0.0122447 0.0181264 0.0214727
6.5 5.1 0.0177655 0.0262023 0.0306345
6.75 5 0.0246709 0.0381222 0.0444199
7 5 0.032475 0.0550004 0.0652302
7.25 5 0.0397778 0.0752422 0.0925578
7.5 5 0.0458448 0.096242 0.123848
7.75 5 0.0504687 0.115386 0.155025
3 13.6 1.67486e-06 2.00478e-06 2.50431e-06
3.25 13.6 3.40457e-06 4.17467e-06 5.03761e-06
3.5 13.6 6.88937000000001e-06 8.64561e-06 1.01129e-05
3.75 13.6 1.39223e-05 1.78581e-05 2.03259e-05
4 13.6 2.79916e-05 3.6648e-05 4.08857e-05
4.25 13.6 5.7054e-05 7.61521000000001e-05 8.55498e-05
4.5 13.6 0.000114426 0.000155579 0.000175922
4.75 13.6 0.000227198 0.000314745 0.000358139
5 13.5 0.000446462 0.000631574 0.000723412
5.25 12.3 0.00095202 0.00138598 0.00160228
5.5 11.4 0.00189296 0.00282383 0.00329811
5.75 10.8 0.0034621 0.00521023 0.00613926
6 10.4 0.00598201 0.00889135 0.0105072
6.25 10.2 0.00975787 0.0142234 0.0167088
6.5 10.1 0.0149589 0.0219133 0.0254898
6.75 10 0.0212662 0.0328188 0.0381604
7 10 0.0281059 0.0476422 0.0564914
7.25 10 0.0350259 0.0663324 0.0816101
7.5 10 0.0411018 0.0863606 0.111164
7.75 10 0.0460272768824128 0.105285 0.14148
3 22.1 8.08535999999999e-07 9.65275000000001e-07 1.21145e-06
3.25 22.1 1.64808e-06 2.00657e-06 2.43222e-06
3.5 22.1 3.33926e-06 4.14895e-06 4.87314e-06
3.75 22.1 6.79912e-06 8.60651e-06 9.83219e-06
4 22.1 1.38225e-05 1.77918e-05 1.98586e-05
4.25 22.1 2.836e-05 3.70494e-05 4.15462e-05
4.5 22.1 5.75651e-05 7.62006e-05 8.57951e-05
4.75 22.1 0.000116576 0.000156238 0.000176529
5 22 0.000233189 0.000316689 0.000359048
5.25 21.3 0.000483019 0.000667668 0.000760459
5.5 20.8 0.000957934 0.00134665 0.00154249
5.75 20.4 0.00183104 0.00259833 0.00299363
6 20.2 0.00335947 0.00475764 0.00549985
6.25 20.1 0.00579243 0.00818449 0.00944562
6.5 20 0.00943286 0.013629 0.0156797
6.75 20 0.0138949698461332 0.021395 0.0247636
7 20 0.0191285952940339 0.0325133 0.0385065
7.25 20 0.025054516232335 0.0476142 0.0586138
7.5 20 0.030886625450043 0.065065 0.0838463
7.75 20 0.0362060008736342 0.082939 0.111535
3 31.4 4.51542e-07 5.39456e-07 6.60745e-07
3.25 31.4 9.30546999999999e-07 1.12652e-06 1.35854e-06
3.5 31.4 1.8996e-06 2.34067e-06 2.76336e-06
3.75 31.4 3.88017e-06 4.85759e-06 5.57471e-06
4 31.4 7.93796e-06 1.00735e-05 1.12799e-05
4.25 31.4 1.63721e-05 2.10121e-05 2.35526e-05
4.5 31.4 3.35456e-05 4.3449e-05 4.879e-05
4.75 31.4 6.9533e-05 9.07671e-05 0.000102047
5 31.3 0.000142471 0.000187431 0.000210963
5.25 30.9 0.000297413 0.000395661 0.000445919
5.5 30.5 0.000600682 0.000809066 0.000914156
5.75 30.3 0.00116284 0.00158255 0.00179474
6 30.1 0.00216798 0.00296779 0.0033774
6.25 30.1 0.00383183064192462 0.00529836 0.00603748
6.5 30 0.00638315613277266 0.00913544 0.0104278
6.75 30 0.00966389663051423 0.0148697 0.0171382
7 30 0.0137583498789517 0.0234744 0.0277707
7.25 30 0.0184967281480433 0.0353062 0.0435075
7.5 30 0.0234862480471046 0.0496246 0.0640416
7.75 30 0.0285592854171258 0.065541 0.0882372
3 41.1 3.02111e-07 3.61245e-07 4.31963e-07
3.25 41.1 6.22921e-07 7.51167e-07 8.86596e-07
3.5 41.1 1.26898e-06 1.55445e-06 1.81384e-06
3.75 41.1 2.62131e-06 3.25546e-06 3.75438e-06
4 41.1 5.43778e-06 6.83108e-06 7.68166e-06
4.25 41.1 1.12793e-05 1.42959e-05 1.60413e-05
4.5 41.1 2.33083e-05 2.97367e-05 3.33689e-05
4.75 41.1 4.87318e-05 6.24847e-05 7.00759000000001e-05
5 41 0.000100761 0.00012984 0.000145492
5.25 40.6 0.000211524404867284 0.000274522 0.000307486
5.5 40.4 0.000431622630413263 0.000565475 0.000633798
5.75 40.2 0.000847736134922102 0.00112236 0.00125998
6 40.1 0.00160164801027995 0.00214294 0.00241177
6.25 40 0.00284027530361356 0.00387071 0.00436613
6.5 40 0.00474901080871213 0.0067585 0.00765536
6.75 40 0.00734309118777997 0.0113048 0.0129814
7 40 0.0106587951870447 0.0182385 0.0215628
7.25 40 0.0144507998059236 0.0276739 0.0341456
7.5 40 0.0186173671947556 0.0394563 0.0509864
7.75 40 0.0231880799329326 0.053286 0.0717972
3 50.9 2.26759e-07 2.68657e-07 3.21553e-07
3.25 50.9 4.68200577479732e-07 5.55619e-07 6.54440000000001e-07
3.5 50.9 9.51027130096875e-07 1.1437e-06 1.33474e-06
3.75 50.9 1.98007589053092e-06 2.40923e-06 2.79008e-06
4 50.9 4.14502e-06 5.09503e-06 5.7930083406222e-06
4.25 50.9 8.61394000000001e-06 1.06711e-05 1.20108500086114e-05
4.5 50.9 1.7865e-05 2.22534e-05 2.50049969385888e-05
4.75 50.9 3.73279045009248e-05 4.70224e-05 5.26076543158495e-05
5 50.8 7.74655070701706e-05 9.83893e-05 0.000109515966396601
5.25 50.5 0.000162961115938295 0.000208107 0.000231818572605938
5.5 50.3 0.000334636 0.000430743 0.000480091863838999
5.75 50.2 0.000661857346909251 0.000864025 0.00096369079419757
6 50.1 0.00126013 0.00166841 0.00186728
6.25 50 0.0022426 0.00305131 0.00343390953319891
6.5 50 0.00376786 0.00538595 0.00614719748729332
6.75 50 0.0058862 0.00913331000000002 0.0107246358790747
7 50 0.00860640999999999 0.0148177 0.0182824295323747
7.25 50 0.0117929 0.0226902000000001 0.0298355838502621
7.5 50 0.0154369 0.0328371000000002 0.0463027304010109
7.75 50 0.019501 0.0449946000000004 0.0679549025626413
3 70.6 1.50805731618489e-07 2.02695e-07 2.80138194202214e-07
3.25 70.6 3.12998e-07 4.20689000000001e-07 5.74852e-07
3.5 70.6 6.36389e-07 8.60484000000005e-07 1.16666e-06
3.75 70.6 1.30661e-06 1.77685000000001e-06 2.39162e-06
4 70.6 2.71078e-06 3.7125e-06 4.95409e-06
4.25 70.6 5.70512e-06 7.83657e-06 1.05834e-05
4.5 70.6 1.20198e-05 1.6579e-05 2.26183e-05
4.75 70.6 2.55032e-05 3.5302e-05 4.84163423145949e-05
5 70.6 5.35585e-05 7.43287000000001e-05 0.000102743543325685
5.25 70.4 0.000113111 0.000156921 0.000218868722358005
5.5 70.2 0.000233028 0.00032585 0.000456552268309108
5.75 70.1 0.000460532 0.000647974000000002 0.000917434408147678
6 70.1 0.000875859 0.00124543 0.00178266730735015
6.25 70 0.00157862 0.00225879000000002 0.00332373779513584
6.5 70 0.00268293 0.00384609000000011 0.00601909171128092
6.75 70 0.00421961 0.00654901000000037 0.0105486044984852
7 70 0.00621483 0.0107179000000008 0.0180468086571096
7.25 70 0.00866861 0.0167149000000017 0.0297157783676648
7.5 70 0.0115635 0.0246489000000031 0.0465153155203906
7.75 70 0.0148567 0.0343388000000051 0.0685952840038819
3 100.4 9.88041000007614e-08 1.68580091888194e-07 2.49128e-07
3.25 100.4 2.04770362661537e-07 3.47619961086054e-07 5.07103e-07
3.5 100.4 4.25847971368868e-07 7.08864000000005e-07 1.02902e-06
3.75 100.4 8.94382e-07 1.44357000000003e-06 2.12385e-06
4 100.4 1.85059e-06 2.98928000000008e-06 4.44756e-06
4.25 100.4 4.0622e-06 6.31796000000023e-06 9.55552e-06
4.5 100.4 8.83636285978685e-06 1.34176000000006e-05 2.07735e-05
4.75 100.4 1.91111438650321e-05 2.86117000000014e-05 4.51938e-05
5 100.4 4.08426387712966e-05 6.04992000000033e-05 9.70569244909424e-05
5.25 100.3 8.73737696543627e-05 0.000128676000000007 0.000209166366194129
5.5 100.2 0.000182361608293912 0.000268545000000016 0.000441092932308727
5.75 100.1 0.000365207151227085 0.000540630000000031 0.000895299790693656
6 100 0.000705096 0.00105274000000006 0.00175538336632889
6.25 100 0.00128206371326473 0.00196814000000009 0.00330333142038997
6.5 100 0.00219875172761934 0.00357063000000008 0.00603323238302666
6.75 100 0.00350218981795072 0.00612099074907796 0.0106921687602423
7 100 0.00522477401194918 0.00918609 0.018431001204357
7.25 100 0.00735094216912722 0.0143599000000003 0.0303902184351416
7.5 100 0.00994777999999999 0.0214549000000013 0.0476085061342872
7.75 100 0.012980854488171 0.0303879000000026 0.0703824066620491
3 130.3 8.05651645596143e-08 1.38542500186006e-07 2.04496e-07
3.25 130.3 1.67097181072623e-07 2.86442e-07 4.16369e-07
3.5 130.3 3.44967145007183e-07 5.72796000000006e-07 8.43566e-07
3.75 130.3 7.24881001688117e-07 1.17004000000002e-06 1.74343e-06
4 130.3 1.54857e-06 2.44296000000007e-06 3.67771e-06
4.25 130.3 3.32391e-06 5.2144000000002e-06 7.92076e-06
4.5 130.3 7.36714990598417e-06 1.12131000000008e-05 1.72015e-05
4.75 130.3 1.62816461120903e-05 2.41826000000012e-05 3.78868e-05
5 130.3 3.52220770498534e-05 5.1720900000003e-05 8.24512627465446e-05
5.25 130.2 7.61706889964732e-05 0.000111096000000007 0.0001789577688208
5.5 130.1 0.000160618634323676 0.000233972000000015 0.00038133353147383
5.75 130.1 0.000324962258859465 0.000475441000000029 0.000782197537928588
6 130 0.000630556606146997 0.000933567000000053 0.00154819438421419
6.25 130 0.00115465122704402 0.00175901000000008 0.00293921147406394
6.5 130 0.00198472241551691 0.00321539000000008 0.00541557792437716
6.75 130 0.00317408053594974 0.00556332461092427 0.00969584975045366
7 130 0.00474952405458557 0.00838638 0.0168263346964817
7.25 130 0.00669787708596972 0.0131757000000002 0.0278506109223907
7.5 130 0.00908888048701308 0.0197591000000011 0.0438092630536384
7.75 130 0.0119682775448755 0.0281837000000024 0.0651432353910874
3 200.2 5.82394719999192e-08 1.0179e-07 1.48367259592306e-07
3.25 200.2 1.21406236493527e-07 2.05839000000002e-07 3.06196032845222e-07
3.5 200.2 2.48945503041678e-07 4.14459000000009e-07 6.1711700584476e-07
3.75 200.2 5.16429761809194e-07 8.41564000000027e-07 1.27434116741178e-06
4 200.2 1.12240568494442e-06 1.77020000000007e-06 2.72207516908164e-06
4.25 200.2 2.51076533527014e-06 3.85941000000019e-06 5.9789031787409e-06
4.5 200.2 5.68474e-06 8.53429000000049e-06 1.33362e-05
4.75 200.2 1.2778e-05 1.89149000000012e-05 2.97049e-05
5 200.2 2.88324e-05 4.1558500000003e-05 6.55529e-05
5.25 200.1 6.39973703887925e-05 9.05008000000068e-05 0.000145062
5.5 200.1 0.000137199767915633 0.000192909000000015 0.000312330638700293
5.75 200 0.000283096014409258 0.00039962200000003 0.000653050948190928
6 200 0.000557150705795879 0.000800239000000056 0.00132075990481534
6.25 200 0.00102188553041056 0.00152985000000008 0.00254733861525656
6.5 200 0.00174846727178733 0.00283104000000007 0.00475078275923838
6.75 200 0.00278072579106263 0.00489892029782454 0.00857539583506377
7 200 0.00414048174602504 0.00739765000000001 0.0149238575884636
7.25 200 0.00584665916451536 0.0117481000000002 0.0247880100661548
7.5 200 0.00795359198527162 0.0176256000000009 0.0390309529102333
7.75 200 0.010612332263269 0.025392700000002 0.0586078302491938
3 300.1 3.61728e-08 6.14058000000013e-08 9.36783874820359e-08
3.25 300.1 7.49279999999999e-08 1.25074000000003e-07 1.94177126677273e-07
3.5 300.1 1.55637e-07 2.53745000000009e-07 3.92256408387845e-07
3.75 300.1 3.25537e-07 5.17598000000023e-07 8.08883493893028e-07
4 300.1 7.09128648540288e-07 1.11489000000006e-06 1.76032568120685e-06
4.25 300.1 1.63255e-06 2.52544000000015e-06 3.96978931769099e-06
4.5 300.1 3.88031606231897e-06 5.85626000000039e-06 9.25305158288821e-06
4.75 300.1 9.19908182805944e-06 1.3568800000001e-05 2.15389050065633e-05
5 300.1 2.16025e-05 3.11184000000025e-05 4.97314503315201e-05
5.25 300.1 4.96885e-05 7.06056000000057e-05 0.000113371
5.5 300.1 0.000111857 0.000156007000000013 0.00025091
5.75 300 0.000240577350693735 0.000333009000000028 0.000541400091149594
6 300 0.00048317646043201 0.000683449000000051 0.00112078589525635
6.25 300 0.000906502643301523 0.00134733000000008 0.00223066796219176
6.5 300 0.00157594502692425 0.00255857000000006 0.00426936590203569
6.75 300 0.00250694648433008 0.00445644219179325 0.00777191957445539
7 300 0.00372569488116499 0.00677207 0.0135668537595387
7.25 300 0.00530001447189886 0.0108447000000001 0.0227800291828786
7.5 300 0.00727526 0.0163805000000007 0.0361281269314589
7.75 300 0.00973852995905983 0.0236675000000017 0.054317912461758
3 500.1 8.69872e-09 1.35124000000007e-08 2.18618209494557e-08
3.25 500.1 2.2805e-08 3.52280000000018e-08 5.75273088563873e-08
3.5 500.1 5.92756e-08 9.09994000000056e-08 1.47709362598277e-07
3.75 500.1 1.51206e-07 2.30595000000015e-07 3.75053736034658e-07
4 500.1 3.60257e-07 5.45669000000036e-07 8.91340896619802e-07
4.25 500.1 8.0511e-07 1.21133000000009e-06 1.9696618815805e-06
4.5 500.1 1.73505e-06 2.59381000000022e-06 4.25197204283519e-06
4.75 500.1 3.73621560295344e-06 5.49634000000046e-06 8.95454848749868e-06
5 500.1 7.98644000000001e-06 1.16508000000015e-05 1.89888492370585e-05
5.25 500.1 1.7236307905976e-05 2.47486000000034e-05 4.03315169820219e-05
5.5 500 3.79422490993802e-05 5.3519200000005e-05 8.71446921052547e-05
5.75 500 8.49592999999999e-05 0.000118635000000011 0.000192875735480564
6 500 0.000192211851015503 0.000269890000000022 0.000438377
6.25 500 0.00042053389487382 0.000625812000000035 0.00102431873774853
6.5 500 0.000884948572320685 0.00145163000000003 0.00239473003542448
6.75 500 0.00176240660625333 0.00317833 0.00549549295741557
7 500 0.0032219519207183 0.00599129 0.0118493643643655
7.25 500 0.0053445620491814 0.0111725 0.0232396200596397
7.5 500 0.00820801471154083 0.0189797000000004 0.0412347674124663
7.75 500 0.0118362500309237 0.0294616000000015 0.0667236818253102
3 700.1 4.70444999999999e-09 6.94114000000048e-09 1.15479585804448e-08
3.25 700.1 1.24081e-08 1.82588000000012e-08 3.03303493913107e-08
3.5 700.1 3.25024e-08 4.76810000000036e-08 7.94224184158534e-08
3.75 700.1 8.37012000000002e-08 1.22374000000009e-07 2.03357023989088e-07
4 700.1 2.01667e-07 2.93782000000023e-07 4.89052436036275e-07
4.25 700.1 4.56407e-07 6.62507000000054e-07 1.10458033370562e-06
4.5 700.1 9.97195e-07 1.44241000000013e-06 2.3906301240276e-06
4.75 700.1 2.15587e-06 3.1090600000003e-06 5.14856165414257e-06
5 700.1 4.65754e-06 6.70349000000067e-06 1.10886488279444e-05
5.25 700 1.01076232730429e-05 1.44778000000014e-05 2.39952769385481e-05
5.5 700 2.22460912398122e-05 3.1813000000003e-05 5.24351993508311e-05
5.75 700 5.06364115271812e-05 7.15953000000064e-05 0.00011759975539442
6 700 0.000117166230724988 0.000165189000000013 0.000269583453850979
6.25 700 0.000258005186416545 0.000387809000000021 0.000629317
6.5 700 0.000545410261276159 0.000908612000000013 0.00148247769458613
6.75 700 0.00109006091402751 0.00198124 0.00342590036455155
7 700 0.00199911582870871 0.0038057430356618 0.00742389594209445
7.25 700 0.00332661258255879 0.00712289 0.0145923253865053
7.5 700 0.00512635841313438 0.0121352 0.0260139529552588
7.75 700 0.00742097020232364 0.0188926000000006 0.0422227669093893
3 999.9 2.25587e-09 3.19633000000027e-09 5.41738800404834e-09
3.25 999.9 5.97336000000001e-09 8.4536400000007e-09 1.4307152382087e-08
3.5 999.9 1.57311e-08 2.22313000000018e-08 3.77160848105367e-08
3.75 999.9 4.07957000000001e-08 5.75538000000049e-08 9.72746347542729e-08
4 999.9 9.91541000000001e-08 1.39612000000012e-07 2.35857748111131e-07
4.25 999.9 2.26769e-07 3.18643000000028e-07 5.3851300605049e-07
4.5 999.9 5.01452e-07 7.03283000000069e-07 1.18385436103537e-06
4.75 999.9 1.09848e-06 1.53857000000015e-06 2.58609109120039e-06
5 999.9 2.40591e-06 3.36998000000034e-06 5.65422148397827e-06
5.25 999.9 5.26389e-06 7.39730000000075e-06 1.23836481720758e-05
5.5 999.9 1.16415e-05 1.65219000000015e-05 2.75743660626878e-05
5.75 999.9 2.61659e-05 3.77766000000032e-05 6.27463821363777e-05
6 999.9 6.11647613203738e-05 8.84432000000062e-05 0.000145710134660098
6.25 999.9 0.000138110892984736 0.000210275000000009 0.000341536496005174
6.5 999.9 0.000292378861544315 0.000497616000000001 0.000798843393562286
6.75 999.9 0.000585454 0.00107482 0.00185866367953453
7 999.9 0.00107536 0.00211615223080116 0.00404878670307704
7.25 999.9 0.0017947 0.00397808 0.00799238881302725
7.5 999.9 0.00277786 0.00677321 0.0143034060662104
7.75 999.9 0.00404087811327242 0.0106279 0.0233053478953391
