Var1 Var2 Var3 Var4 Var5
3 9.3 0.0802204 0.154841 0.275435
3.25 9.3 0.117225 0.249179 0.440619
3.5 9.3 0.168591 0.385082 0.67702
3.75 9.3 0.238681 0.573321 1.00238
4 9.3 0.333907 0.830346 1.44411
4.25 9.3 0.462961 1.17995 2.04228
4.5 9.3 0.634055 1.64707 2.83819
4.75 9.3 0.856246 2.26044 3.86734445934815
5 9.1 1.13624 3.04472 5.20772
5.25 7.2 1.56633 4.25797 7.22997
5.5 5.6 1.89918 5.24298 8.85837
5.75 4.2 2.04953 5.74622 9.68786
6 2.9 1.99753 5.68637 9.59237
6.25 1.9 1.89144 5.4652 9.24933
6.5 1.1 1.8599 5.45411 9.23887583092964
6.75 0.6 1.94568 5.78997 9.90812
7 0.2 2.09192 6.31805 10.8902
7.25 0 2.20932 6.77255 11.7701
7.5 0 2.23065 6.94014 12.1686
7.75 0 2.17606 6.87034 12.1594
3 9.5 0.0783779 0.151354 0.269429
3.25 9.5 0.114577 0.243657 0.431166
3.5 9.5 0.164868 0.376736 0.662815
3.75 9.5 0.233468 0.561021 0.981542
4 9.5 0.326812 0.812985 1.41488
4.25 9.5 0.453471 1.15617 2.00233
4.5 9.5 0.621646 1.61522 2.78513
4.75 9.5 0.840595 2.21954 3.81286
5 9.3 1.1169 2.99308 5.12283
5.25 7.5 1.55129 4.21727 7.16619
5.5 5.9 1.90045 5.24616 8.87111
5.75 4.6 2.10026 5.88826 9.93554
6 3.6 2.12583 6.05144 10.2164
6.25 2.8 2.09301 6.04778 10.2419
6.5 2.3 2.10795 6.18185 10.5189
6.75 2.1 2.18502 6.50285 11.1328
7 2 2.29025 6.91792 11.9291
7.25 2 2.36161 7.2402 12.5866
7.5 2 2.3469 7.30269 12.7283236057374
7.75 2 2.27348 7.17877 12.7081
3 10.5 0.0698372 0.135177 0.241487
3.25 10.5 0.102041 0.217478 0.386199
3.5 10.5 0.146922 0.33642 0.593952
3.75 10.5 0.208486 0.501933 0.877784225222823
4 10.5 0.29272 0.729397 1.27371
4.25 10.5 0.407761 1.04128 1.80931
4.5 10.5 0.56169 1.46122 2.52779
4.75 10.5 0.764 2.01924 3.47976
5 10.3 1.02009 2.7357 4.69689
5.25 8.8 1.41019 3.83511 6.54023
5.5 7.5 1.77534 4.90072 8.31931
5.75 6.5 2.0525 5.75427 9.74743
6 5.8 2.19957 6.26147 10.6103
