Var1 Var2 Var3 Var4 Var5
3 9.3 0.0343725 0.0699075 0.244895
3.25 9.3 0.0515577 0.106855 0.334226
3.5 9.3 0.0741122 0.160461 0.457203
3.75 9.3 0.105231 0.236782 0.62519
4 9.3 0.147637 0.343683 0.847930846497829
4.25 9.3 0.20516 0.492256 1.16237
4.5 9.3 0.282191 0.695813 1.5784
4.75 9.3 0.38283 0.967916 2.12609
5 9.1 0.506221 1.31028 2.8056
5.25 7.2 0.699972 1.85446 3.89954
5.5 5.6 0.849065 2.30029 4.76487
5.75 4.2 0.919302 2.54181 5.19582
6 2.9 0.902535 2.54107 5.13117
6.25 1.9 0.863449 2.47091 4.93387
6.5 1.1 0.860021 2.49806 4.93716
6.75 0.6 0.913326 2.69026 5.2673
7 0.2 0.997386 2.97757 5.77894
7.25 0 1.07062 3.23762 6.23193
7.5 0 1.09962 3.36692 6.35860545899721
7.75 0 1.09252 3.38529 6.41702
3 9.5 0.0336177 0.0683795 0.239511
3.25 9.5 0.0504083 0.104497 0.326799
3.5 9.5 0.0724639 0.156924 0.447041
3.75 9.5 0.102923 0.231625 0.611427
4 9.5 0.144464 0.336339 0.829477212133824
4.25 9.5 0.200957 0.482207 1.13832
4.5 9.5 0.276723 0.682353 1.54741
4.75 9.5 0.375895 0.950353 2.08686
5 9.3 0.497682 1.28806 2.75714
5.25 7.5 0.693563 1.8371 3.86145
5.5 5.9 0.849896 2.30181 4.76587
5.75 4.6 0.941992 2.60368 5.29812469179236
6 3.6 0.959808 2.70166 5.42919893703934
6.25 2.8 0.953488 2.72812 5.44582
6.5 2.3 0.971567 2.82185 5.57577
6.75 2.1 1.02067 3.00642 5.88524
7 2 1.08562 3.241 6.28931
7.25 2 1.13769 3.44066 6.55783099486002
7.5 2 1.15071 3.52349 6.72853
7.75 2 1.13584 3.51971 6.58888273984479
3 10.5 0.0300114 0.0610735 0.212045401587897
3.25 10.5 0.0449719 0.0933412 0.291698
3.5 10.5 0.064738 0.140338 0.399428
3.75 10.5 0.0920543 0.20734 0.546725
4 10.5 0.129477 0.301638 0.747561
4.25 10.5 0.180632 0.433615 1.02218
4.5 10.5 0.249651 0.615709 1.39418
4.75 10.5 0.341463 0.863249 1.89269
5 10.3 0.454793 1.17668 2.51466
5.25 8.8 0.631264 1.67069 3.50481
5.5 7.5 0.794927 2.15022 4.44165
5.75 6.5 0.920569 2.54105 5.18096
6 5.8 0.990852 2.78602 5.6126
6.25 5.4 1.02594 2.93346 5.84693
6.5 5.1 1.05061 3.05042 6.02025
6.75 5 1.08657 3.20026 6.25886
7 5 1.13394 3.38563 6.5651
7.25 5 1.16979 3.5384 6.80476
7.5 5 1.17873 3.61015 6.81343855227211
7.75 5 1.16199 3.60177 6.82394
3 13.6 0.0215441 0.0439153 0.153528
3.25 13.6 0.0322765 0.0672515 0.209776
3.5 13.6 0.0466709 0.101513 0.288238
3.75 13.6 0.066518 0.150241 0.395055
4 13.6 0.0939623 0.219393 0.541954
4.25 13.6 0.131839 0.317015 0.744564
4.5 13.6 0.18373 0.453599 1.02301
4.75 13.6 0.255375 0.645861 1.41005
5 13.5 0.344394 0.890815 1.89529
5.25 12.3 0.465738 1.2309 2.55077938327307
5.5 11.4 0.582546 1.57211 3.23008
5.75 10.8 0.690288 1.90052 3.85376
6 10.4 0.782977 2.19657 4.40368
