Var1 Var2 Var3 Var4 Var5
3 0 0.0197469 0.0235958 0.02891
3.25 0 0.0351008 0.0442994 0.0546365
3.5 0 0.0599515 0.0833434 0.104717
3.75 0 0.0987772 0.154433 0.200314
4 0 0.156616 0.277379 0.375592
4.25 0 0.241229 0.479432 0.681228
4.5 0 0.363637 0.794127 1.18122
4.75 0 0.539615 1.26453 1.95329
5 0 0.792378 1.9529 3.10359
5.25 0 1.27459 3.25757 5.29373
5.5 0 1.64487 4.32314 7.13737
5.75 0 1.82805 4.91534 8.2053
6 0 1.83549 5.03184 8.46339
6.25 0 1.79057 4.99266 8.44016
6.5 0 1.81178 5.13022 8.70222
6.75 0 1.94347 5.58247 9.49161
7 0 2.14414 6.24289 10.6302
7.25 0 2.32391 6.85383 11.6801
7.5 0 2.40528 7.18237 12.2428
7.75 0 2.40525 7.26821 12.3872
3 2 0.0193838 0.0231669 0.0283724
3.25 2 0.0344733 0.043516 0.0536484
3.5 2 0.058893 0.0818859 0.102852
3.75 2 0.0970169 0.151707 0.196718
4 2 0.153811 0.272455 0.368814
4.25 2 0.236818 0.470727 0.66867
4.5 2 0.356935 0.779578 1.15925
4.75 2 0.530277 1.24274 1.91908
5 2 0.77922 1.92053 3.05125
5.25 2 1.25866 3.21682 5.22557
5.5 2 1.63805 4.30489 7.10412
5.75 2 1.86018 5.0011 8.34459
6 2 1.93134 5.29395 8.90022
6.25 2 1.95146 5.44075 9.19415
6.5 2 2.01392 5.7022 9.66953
6.75 2 2.13809 6.14132 10.4391
7 2 2.29858 6.69253 11.3935
7.25 2 2.43218 7.17311 12.2223
7.5 2 2.48055 7.40725 12.6243
7.75 2 2.46683 7.45448 12.7033
3 5 0.0176577 0.0211258 0.0258191
3.25 5 0.0313499 0.0396075 0.0487435
3.5 5 0.0534471 0.0743784 0.0932742
3.75 5 0.0880062 0.13773 0.178333
4 5 0.139596 0.247464 0.334513
4.25 5 0.215438 0.428517 0.607867
4.5 5 0.32608 0.712579 1.05815
4.75 5 0.485621 1.13854 1.75569
5 5 0.714694 1.76195 2.79519
5.25 5 1.14373 2.9232 4.7401
5.5 5 1.51476 3.97984 6.55417
5.75 5 1.7884 4.80509 8.00114
6 5 1.95814 5.36445 9.00003
6.25 5 2.0549 5.72646 9.65938
6.5 5 2.13487 6.04272 10.2313
6.75 5 2.23427 6.41648 10.8932
7 5 2.35429 6.85445 11.6572
7.25 5 2.45201 7.23197 12.3124
7.5 5 2.49279 7.44473 12.6793
7.75 5 2.48017 7.49592 12.7665
3 10 0.0133579 0.0160309 0.0194763
3.25 10 0.0235283 0.0298047 0.0364901
3.5 10 0.0397752 0.0554968 0.0692734
3.75 10 0.0655329 0.102816 0.132553
4 10 0.104268 0.185267 0.249403
4.25 10 0.162063 0.323018 0.456346
4.5 10 0.247507 0.541826 0.801287
4.75 10 0.370794 0.870528 1.33683
5 10 0.547665 1.35141 2.13468
5.25 10 0.846033 2.16302 3.49014
5.5 10 1.1013 2.8925 4.73733
5.75 10 1.3224 3.5503 5.87677
6 10 1.51678 4.1505 6.92385
6.25 10 1.69346 4.71054 7.9043
6.5 10 1.84484 5.21766 8.79382
6.75 10 1.98639 5.70218 9.64229
7 10 2.12628 6.19001 10.4922
7.25 10 2.25354 6.6478 11.286
7.5 10 2.33263 6.96906 11.8413
7.75 10 2.35711 7.12768 12.1152
3 20 0.00695466 0.00841854 0.0102916
3.25 20 0.0122305 0.0156106 0.0188947
